id,rdfs_label,name,b_type
HGNC:3619,FCGR3A,CD16,protein
HGNC:7656,NCAM1,CD56,protein
,,HLA-DR,protein
HGNC:6152,ITGAX,CD11c+/lo,protein
HGNC:6012,IL3RA,CD123,protein
HGNC:11784,THBD,CD141,protein
HGNC:1636,CD1C,CD1c,protein
HGNC:4709,granzyme B,GZMB,gene
HGNC:5713,joining chain of multimeric IgA and IgM,JCHAIN,gene
HGNC:8824,serpin family F member 1,SERPINF1,gene
HGNC:1674,CD3E,CD3,protein
HGNC:1633,CD19,CD19,protein
HGNC:1628,CD14,CD14,protein
HGNC:3619,FCGR3A,CD16,protein
HGNC:7656,NCAM1,CD56,protein
,,HLA-DR,protein
HGNC:6152,ITGAX,CD11c,protein
HGNC:6012,IL3RA,CD123,protein
HGNC:13258,CLEC4C,CD303,protein
HGNC:905,AXL receptor tyrosine kinase,AXL,gene
HGNC:10875,sialic acid binding Ig like lectin 6,SIGLEC6,gene
HGNC:1643,CD22 molecule,CD22,gene
HGNC:1674,CD3E,CD3,protein
HGNC:1633,CD19,CD19,protein
HGNC:1628,CD14,CD14,protein
HGNC:3619,FCGR3A,CD16,protein
HGNC:7656,NCAM1,CD56,protein
,,HLA-DR,protein
HGNC:6152,ITGAX,CD11c-/,protein
HGNC:6012,IL3RA,CD123,protein
HGNC:905,AXL,AXL,protein
HGNC:10875,SIGLEC6,Siglec6,protein
HGNC:2464,versican,VCAN,gene
HGNC:2475,cystatin C,CST3,gene
HGNC:1628,CD14 molecule,CD14,gene
HGNC:10498,S100 calcium binding protein A8,S100A8,gene
HGNC:10499,S100 calcium binding protein A9,S100A9,gene
HGNC:3623,ficolin 1,FCN1,gene
HGNC:1674,CD3E,CD3,protein
HGNC:1633,CD19,CD19,protein
HGNC:7656,NCAM1,CD56,protein
HGNC:1628,CD14,CD14,protein
HGNC:3619,FCGR3A,CD16-/lo,protein
HGNC:6152,ITGAX,CD11c,protein
HGNC:3613,FCGR1A,CD64,protein
HGNC:10720,SELL,CD62L,protein
HGNC:1603,CCR2,CCR2,protein
HGNC:1663,CD36,CD36,protein
HGNC:24149,hes family bHLH transcription factor 4,HES4,gene
HGNC:13378,membrane spanning 4-domains A7,MS4A7,gene
HGNC:5414,interferon induced transmembrane protein 3,IFITM3,gene
HGNC:3619,Fc gamma receptor IIIa,FCGR3A,gene
HGNC:16642,C-X-C motif chemokine ligand 16,CXCL16,gene
HGNC:14189,leukocyte specific transcript 1,LST1,gene
HGNC:1674,CD3E,CD3,protein
HGNC:1633,CD19,CD19,protein
HGNC:7656,NCAM1,CD56,protein
HGNC:1628,CD14,CD14-/lo,protein
HGNC:3619,FCGR3A,CD16,protein
HGNC:2558,CX3CR1,CX3CR1,protein
HGNC:2561,CXCR4,CXCR4,protein
HGNC:6149,integrin subunit alpha M,ITGAM,gene
HGNC:7176,matrix metallopeptidase 9,MMP9,gene
HGNC:8904,peptidoglycan recognition protein 1,PGLYRP1,gene
HGNC:8498,orosomucoid 1,ORM1,gene
HGNC:10489,S100 calcium binding protein A12,S100A12,gene
HGNC:3623,ficolin 1,FCN1,gene
HGNC:500,ANPEP,CD13,protein
HGNC:4015,FUT4,CD15,protein
HGNC:11249,SPN,CD43,protein
HGNC:1820,CEACAM8,CD66b,protein
HGNC:6140,ITGA4,CD49d,protein
HGNC:6149,ITGAM,CD11b,protein
HGNC:1645,CD24,CD24,protein
HGNC:3619,FCGR3A,CD16,protein
HGNC:4855,histidine decarboxylase,HDC,gene
HGNC:2014,Charcot-Leyden crystal galectin,CLC,gene
HGNC:2298,carboxypeptidase A3,CPA3,gene
HGNC:6017,interleukin 5 receptor subunit alpha,IL5RA,gene
HGNC:4171,GATA binding protein 2,GATA2,gene
HGNC:7317,membrane spanning 4-domains A3,MS4A3,gene
HGNC:17890,hematopoietic prostaglandin D synthase,HPGDS,gene
HGNC:4015,FUT4,CD15,protein
HGNC:6017,IL5RA,CD125,protein
HGNC:3609,FCER1A,FcER1A,protein
HGNC:4855,histidine decarboxylase,HDC,gene
HGNC:2014,Charcot-Leyden crystal galectin,CLC,gene
HGNC:2298,carboxypeptidase A3,CPA3,gene
HGNC:6017,interleukin 5 receptor subunit alpha,IL5RA,gene
HGNC:4171,GATA binding protein 2,GATA2,gene
HGNC:7317,membrane spanning 4-domains A3,MS4A3,gene
HGNC:6012,interleukin 3 receptor subunit alpha,IL3RA,gene
HGNC:6012,IL3RA,CD123,protein
HGNC:6017,IL5RA,CD125,protein
HGNC:1604,CCR3,CCR3,protein
HGNC:3609,FCER1A,FcER1A,protein
HGNC:1673,CD3d molecule,CD3D,gene
HGNC:12029,T cell receptor alpha constant,TRAC,gene
HGNC:12156,T cell receptor beta constant 1,TRBC1,gene
HGNC:6024,interleukin 7 receptor,IL7R,gene
HGNC:30698,T cell receptor associated transmembrane adaptor 1,TRAT1,gene
HGNC:6711,lymphotoxin beta,LTB,gene
HGNC:636,aquaporin 3 (Gill blood group),AQP3,gene
HGNC:11935,CD40 ligand,CD40LG,gene
HGNC:1674,CD3E,CD3,protein
HGNC:1678,CD4,CD4,protein
HGNC:1706,CD8A,CD8,protein
HGNC:9666,PTPRC,CD45RA,protein
HGNC:1608,CCR7,CCR7,protein
HGNC:1673,CD3d molecule,CD3D,gene
HGNC:12029,T cell receptor alpha constant,TRAC,gene
HGNC:4054,interferon alpha inducible protein 6,IFI6,gene
HGNC:6563,galectin 3,LGALS3,gene
HGNC:26974,PDZ domain containing 8,PDZD8,gene
HGNC:537,annexin A2,ANXA2,gene
HGNC:2360,cysteine rich protein 1,CRIP1,gene
HGNC:1674,CD3E,CD3,protein
HGNC:1678,CD4,CD4,protein
HGNC:1706,CD8A,CD8,protein
HGNC:9666,PTPRC,CD45RA,protein
HGNC:1608,CCR7,CCR7,protein
HGNC:1673,CD3d molecule,CD3D,gene
HGNC:12029,T cell receptor alpha constant,TRAC,gene
HGNC:6015,interleukin 4 receptor,IL4R,gene
HGNC:11362,signal transducer and activator of transcription 1,STAT1,gene
HGNC:6817,"mal, T cell differentiation protein",MAL,gene
HGNC:19383,suppressor of cytokine signaling 1,SOCS1,gene
HGNC:6001,interleukin 2,IL2,gene
HGNC:8109,ornithine decarboxylase 1,ODC1,gene
HGNC:19129,phosphoserine aminotransferase 1,PSAT1,gene
HGNC:12729,tryptophanyl-tRNA synthetase 1,WARS,gene
HGNC:9721,pyrroline-5-carboxylate reductase 1,PYCR1,gene
HGNC:11892,tumor necrosis factor,TNF,gene
HGNC:7849,NME/NM23 nucleoside diphosphate kinase 1,NME1,gene
HGNC:1674,CD3E,CD3,protein
HGNC:1678,CD4,CD4,protein
HGNC:1706,CD8A,CD8,protein
HGNC:9666,PTPRC,CD45RA,protein
HGNC:1608,CCR7,CCR7,protein
HGNC:1673,CD3d molecule,CD3D,gene
HGNC:12029,T cell receptor alpha constant,TRAC,gene
HGNC:6015,interleukin 4 receptor,IL4R,gene
HGNC:11362,signal transducer and activator of transcription 1,STAT1,gene
HGNC:6817,"mal, T cell differentiation protein",MAL,gene
HGNC:19383,suppressor of cytokine signaling 1,SOCS1,gene
HGNC:6001,interleukin 2,IL2,gene
HGNC:8109,ornithine decarboxylase 1,ODC1,gene
HGNC:19129,phosphoserine aminotransferase 1,PSAT1,gene
HGNC:12729,tryptophanyl-tRNA synthetase 1,WARS,gene
HGNC:9721,pyrroline-5-carboxylate reductase 1,PYCR1,gene
HGNC:11892,tumor necrosis factor,TNF,gene
HGNC:7849,NME/NM23 nucleoside diphosphate kinase 1,NME1,gene
HGNC:1674,CD3E,CD3,protein
HGNC:1678,CD4,CD4,protein
HGNC:1706,CD8A,CD8,protein
HGNC:9666,PTPRC,CD45RA,protein
HGNC:1608,CCR7,CCR7,protein
HGNC:1673,CD3d molecule,CD3D,gene
HGNC:12029,T cell receptor alpha constant,TRAC,gene
HGNC:636,aquaporin 3 (Gill blood group),AQP3,gene
HGNC:6024,interleukin 7 receptor,IL7R,gene
HGNC:1674,CD3E,CD3,protein
HGNC:1678,CD4,CD4,protein
HGNC:1706,CD8A,CD8,protein
HGNC:9666,PTPRC,CD45RA,protein
HGNC:1608,CCR7,CCR7,protein
HGNC:26974,PDZ domain containing 8,PDZD8,gene
HGNC:16647,C-X-C motif chemokine receptor 6,CXCR6,gene
HGNC:9360,perforin 1,PRF1,gene
HGNC:2360,cysteine rich protein 1,CRIP1,gene
HGNC:6134,integrin subunit alpha 1,ITGA1,gene
HGNC:4709,granzyme B,GZMB,gene
HGNC:1674,CD3E,CD3,protein
HGNC:1678,CD4,CD4,protein
HGNC:1706,CD8A,CD8,protein
HGNC:9666,PTPRC,CD45RA,protein
HGNC:1608,CCR7,CCR7,protein
HGNC:1673,CD3d molecule,CD3D,gene
HGNC:12029,T cell receptor alpha constant,TRAC,gene
HGNC:10627,C-C motif chemokine ligand 3,CCL3,gene
HGNC:10630,C-C motif chemokine ligand 4,CCL4,gene
HGNC:24961,HOP homeobox,HOPX,gene
HGNC:4709,granzyme B,GZMB,gene
HGNC:1674,CD3E,CD3,protein
HGNC:1678,CD4,CD4,protein
HGNC:1706,CD8A,CD8,protein
HGNC:9666,PTPRC,CD45RA,protein
HGNC:1608,CCR7,CCR7,protein
HGNC:1673,CD3d molecule,CD3D,gene
HGNC:12029,T cell receptor alpha constant,TRAC,gene
HGNC:9360,perforin 1,PRF1,gene
HGNC:24961,HOP homeobox,HOPX,gene
HGNC:7830,natural killer cell granule protein 7,NKG7,gene
HGNC:4414,granulysin,GNLY,gene
HGNC:5411,interferon induced protein with tetratricopeptide repeats 3,IFIT3,gene
HGNC:6378,killer cell lectin like receptor D1,KLRD1,gene
HGNC:10632,C-C motif chemokine ligand 5,CCL5,gene
HGNC:1674,CD3E,CD3,protein
HGNC:1678,CD4,CD4,protein
HGNC:1706,CD8A,CD8,protein
HGNC:9666,PTPRC,CD45RA,protein
HGNC:1608,CCR7,CCR7,protein
HGNC:10632,C-C motif chemokine ligand 5,CCL5,gene
HGNC:4710,granzyme H,GZMH,gene
HGNC:16830,interleukin 32,IL32,gene
HGNC:1706,CD8a molecule,CD8A,gene
HGNC:3068,dual specificity phosphatase 2,DUSP2,gene
HGNC:6380,killer cell lectin like receptor G1,KLRG1,gene
HGNC:12276,T cell receptor gamma constant 2,TRGC2,gene
HGNC:4711,granzyme K,GZMK,gene
HGNC:1674,CD3E,CD3,protein
HGNC:1706,CD8A,CD8,protein
HGNC:1678,CD4,CD4,protein
HGNC:11922,CD27,CD27,protein
HGNC:1667,CD38,CD38,protein
HGNC:9666,PTPRC,CD45RA,protein
HGNC:10720,SELL,CD62L,protein
HGNC:1608,CCR7,CCR7,protein
HGNC:12253,T cell receptor delta constant,TRDC,gene
HGNC:6373,killer cell lectin like receptor B1,KLRB1,gene
HGNC:2064,chloride intracellular channel 3,CLIC3,gene
HGNC:2479,cystatin F,CST7,gene
HGNC:10645,X-C motif chemokine ligand 1,XCL1,gene
HGNC:4711,granzyme K,GZMK,gene
HGNC:1674,CD3E,CD3,protein
HGNC:1633,CD19,CD19,protein
HGNC:7315,MS4A1,CD20,protein
HGNC:7656,NCAM1,CD56hi,protein
HGNC:3619,FCGR3A,CD16,protein
HGNC:12253,T cell receptor delta constant,TRDC,gene
HGNC:6373,killer cell lectin like receptor B1,KLRB1,gene
HGNC:2064,chloride intracellular channel 3,CLIC3,gene
HGNC:2479,cystatin F,CST7,gene
HGNC:4708,granzyme A,GZMA,gene
HGNC:4709,granzyme B,GZMB,gene
HGNC:9360,perforin 1,PRF1,gene
HGNC:3619,Fc gamma receptor IIIa,FCGR3A,gene
HGNC:1674,CD3E,CD3,protein
HGNC:1633,CD19,CD19,protein
HGNC:7315,MS4A1,CD20,protein
HGNC:7656,NCAM1,CD56,protein
HGNC:3619,FCGR3A,CD16,protein
HGNC:921,B3GAT1,CD57,protein
HGNC:12029,T cell receptor alpha constant,TRAC,gene
HGNC:12156,T cell receptor beta constant 1,TRBC1,gene
HGNC:6024,interleukin 7 receptor,IL7R,gene
HGNC:30698,T cell receptor associated transmembrane adaptor 1,TRAT1,gene
HGNC:6711,lymphotoxin beta,LTB,gene
HGNC:636,aquaporin 3 (Gill blood group),AQP3,gene
HGNC:6106,forkhead box P3,FOXP3,gene
HGNC:11910,TNF receptor superfamily member 25,TNFRSF25,gene
HGNC:26838,T cell immunoreceptor with Ig and ITIM domains,TIGIT,gene
HGNC:1607,C-C motif chemokine receptor 6,CCR6,gene
HGNC:11918,TNF receptor superfamily member 4,TNFRSF4,gene
HGNC:1674,CD3E,CD3,protein
HGNC:1678,CD4,CD4,protein
HGNC:1706,CD8A,CD8,protein
HGNC:6008,IL2RA,CD25,protein
HGNC:6106,FOXP3,FOXP3,protein
HGNC:2505,CTLA4,CTLA4,protein
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
HGNC:2731,DDR2,DDR2,gene
HGNC:130,ACTA2,ACTA2,gene
HGNC:2155,CNN1,CNN1,gene
HGNC:16067,MYOCD,MYOCD,gene
HGNC:11553,TAGLN,TAGLN (SM22),gene
HGNC:1764,CDH5,CDH5 (CD144),gene
HGNC:8823,PECAM1,PECAM1 (CD31),gene
HGNC:11724,TEK,TEK (TIE2),gene
HGNC:11809,TIE1,TIE1,gene
HGNC:21411,AIFM2,AIFM2 (FSP1),gene
