id,rdfs_label,name,b_type,b_iri
HGNC:1628,CD14,CD14-/lo,protein,http://identifiers.org/hgnc/1628
HGNC:3619,FCGR3A,CD16,protein,http://identifiers.org/hgnc/3619
HGNC:7656,NCAM1,CD56,protein,http://identifiers.org/hgnc/7656
,,HLA-DR,protein,https://purl.org/ccf/ASCTB-TEMP_hla-dr
HGNC:6152,ITGAX,CD11c+/lo,protein,http://identifiers.org/hgnc/6152
HGNC:6012,IL3RA,CD123,protein,http://identifiers.org/hgnc/6012
HGNC:11784,THBD,CD141,protein,http://identifiers.org/hgnc/11784
HGNC:1636,CD1C,CD1c,protein,http://identifiers.org/hgnc/1636
HGNC:4709,granzyme B,GZMB,gene,http://identifiers.org/hgnc/4709
HGNC:5713,joining chain of multimeric IgA and IgM,JCHAIN,gene,http://identifiers.org/hgnc/5713
HGNC:8824,serpin family F member 1,SERPINF1,gene,http://identifiers.org/hgnc/8824
HGNC:1674,CD3E,CD3,protein,http://identifiers.org/hgnc/1674
HGNC:1633,CD19,CD19,protein,http://identifiers.org/hgnc/1633
HGNC:1628,CD14,CD14,protein,http://identifiers.org/hgnc/1628
HGNC:3619,FCGR3A,CD16,protein,http://identifiers.org/hgnc/3619
HGNC:7656,NCAM1,CD56,protein,http://identifiers.org/hgnc/7656
,,HLA-DR,protein,https://purl.org/ccf/ASCTB-TEMP_hla-dr
HGNC:6152,ITGAX,CD11c,protein,http://identifiers.org/hgnc/6152
HGNC:6012,IL3RA,CD123,protein,http://identifiers.org/hgnc/6012
HGNC:13258,CLEC4C,CD303,protein,http://identifiers.org/hgnc/13258
HGNC:905,AXL receptor tyrosine kinase,AXL,gene,http://identifiers.org/hgnc/905
HGNC:10875,sialic acid binding Ig like lectin 6,SIGLEC6,gene,http://identifiers.org/hgnc/10875
HGNC:1643,CD22 molecule,CD22,gene,http://identifiers.org/hgnc/1643
HGNC:1674,CD3E,CD3,protein,http://identifiers.org/hgnc/1674
HGNC:1633,CD19,CD19,protein,http://identifiers.org/hgnc/1633
HGNC:1628,CD14,CD14,protein,http://identifiers.org/hgnc/1628
HGNC:3619,FCGR3A,CD16,protein,http://identifiers.org/hgnc/3619
HGNC:7656,NCAM1,CD56,protein,http://identifiers.org/hgnc/7656
,,HLA-DR,protein,https://purl.org/ccf/ASCTB-TEMP_hla-dr
HGNC:6152,ITGAX,CD11c-/,protein,http://identifiers.org/hgnc/6152
HGNC:6012,IL3RA,CD123,protein,http://identifiers.org/hgnc/6012
HGNC:905,AXL,AXL,protein,http://identifiers.org/hgnc/905
HGNC:10875,SIGLEC6,Siglec6,protein,http://identifiers.org/hgnc/10875
HGNC:2464,versican,VCAN,gene,http://identifiers.org/hgnc/2464
HGNC:2475,cystatin C,CST3,gene,http://identifiers.org/hgnc/2475
HGNC:1628,CD14 molecule,CD14,gene,http://identifiers.org/hgnc/1628
HGNC:10498,S100 calcium binding protein A8,S100A8,gene,http://identifiers.org/hgnc/10498
HGNC:10499,S100 calcium binding protein A9,S100A9,gene,http://identifiers.org/hgnc/10499
HGNC:3623,ficolin 1,FCN1,gene,http://identifiers.org/hgnc/3623
HGNC:1674,CD3E,CD3,protein,http://identifiers.org/hgnc/1674
HGNC:1633,CD19,CD19,protein,http://identifiers.org/hgnc/1633
HGNC:7656,NCAM1,CD56,protein,http://identifiers.org/hgnc/7656
HGNC:1628,CD14,CD14,protein,http://identifiers.org/hgnc/1628
HGNC:3619,FCGR3A,CD16-/lo,protein,http://identifiers.org/hgnc/3619
HGNC:6152,ITGAX,CD11c,protein,http://identifiers.org/hgnc/6152
HGNC:3613,FCGR1A,CD64,protein,http://identifiers.org/hgnc/3613
HGNC:10720,SELL,CD62L,protein,http://identifiers.org/hgnc/10720
HGNC:1603,CCR2,CCR2,protein,http://identifiers.org/hgnc/1603
HGNC:1663,CD36,CD36,protein,http://identifiers.org/hgnc/1663
HGNC:24149,hes family bHLH transcription factor 4,HES4,gene,http://identifiers.org/hgnc/24149
HGNC:13378,membrane spanning 4-domains A7,MS4A7,gene,http://identifiers.org/hgnc/13378
HGNC:5414,interferon induced transmembrane protein 3,IFITM3,gene,http://identifiers.org/hgnc/5414
HGNC:3619,Fc gamma receptor IIIa,FCGR3A,gene,http://identifiers.org/hgnc/3619
HGNC:16642,C-X-C motif chemokine ligand 16,CXCL16,gene,http://identifiers.org/hgnc/16642
HGNC:14189,leukocyte specific transcript 1,LST1,gene,http://identifiers.org/hgnc/14189
HGNC:1674,CD3E,CD3,protein,http://identifiers.org/hgnc/1674
HGNC:1633,CD19,CD19,protein,http://identifiers.org/hgnc/1633
HGNC:7656,NCAM1,CD56,protein,http://identifiers.org/hgnc/7656
HGNC:1628,CD14,CD14-/lo,protein,http://identifiers.org/hgnc/1628
HGNC:3619,FCGR3A,CD16,protein,http://identifiers.org/hgnc/3619
HGNC:2558,CX3CR1,CX3CR1,protein,http://identifiers.org/hgnc/2558
HGNC:2561,CXCR4,CXCR4,protein,http://identifiers.org/hgnc/2561
HGNC:6149,integrin subunit alpha M,ITGAM,gene,http://identifiers.org/hgnc/6149
HGNC:7176,matrix metallopeptidase 9,MMP9,gene,http://identifiers.org/hgnc/7176
HGNC:8904,peptidoglycan recognition protein 1,PGLYRP1,gene,http://identifiers.org/hgnc/8904
HGNC:8498,orosomucoid 1,ORM1,gene,http://identifiers.org/hgnc/8498
HGNC:10489,S100 calcium binding protein A12,S100A12,gene,http://identifiers.org/hgnc/10489
HGNC:3623,ficolin 1,FCN1,gene,http://identifiers.org/hgnc/3623
HGNC:500,ANPEP,CD13,protein,http://identifiers.org/hgnc/500
HGNC:4015,FUT4,CD15,protein,http://identifiers.org/hgnc/4015
HGNC:11249,SPN,CD43,protein,http://identifiers.org/hgnc/11249
HGNC:1820,CEACAM8,CD66b,protein,http://identifiers.org/hgnc/1820
HGNC:6140,ITGA4,CD49d,protein,http://identifiers.org/hgnc/6140
HGNC:6149,ITGAM,CD11b,protein,http://identifiers.org/hgnc/6149
HGNC:1645,CD24,CD24,protein,http://identifiers.org/hgnc/1645
HGNC:3619,FCGR3A,CD16,protein,http://identifiers.org/hgnc/3619
HGNC:4855,histidine decarboxylase,HDC,gene,http://identifiers.org/hgnc/4855
HGNC:2014,Charcot-Leyden crystal galectin,CLC,gene,http://identifiers.org/hgnc/2014
HGNC:2298,carboxypeptidase A3,CPA3,gene,http://identifiers.org/hgnc/2298
HGNC:6017,interleukin 5 receptor subunit alpha,IL5RA,gene,http://identifiers.org/hgnc/6017
HGNC:4171,GATA binding protein 2,GATA2,gene,http://identifiers.org/hgnc/4171
HGNC:7317,membrane spanning 4-domains A3,MS4A3,gene,http://identifiers.org/hgnc/7317
HGNC:17890,hematopoietic prostaglandin D synthase,HPGDS,gene,http://identifiers.org/hgnc/17890
HGNC:4015,FUT4,CD15,protein,http://identifiers.org/hgnc/4015
HGNC:6017,IL5RA,CD125,protein,http://identifiers.org/hgnc/6017
HGNC:3609,FCER1A,FcER1A,protein,http://identifiers.org/hgnc/3609
HGNC:4855,histidine decarboxylase,HDC,gene,http://identifiers.org/hgnc/4855
HGNC:2014,Charcot-Leyden crystal galectin,CLC,gene,http://identifiers.org/hgnc/2014
HGNC:2298,carboxypeptidase A3,CPA3,gene,http://identifiers.org/hgnc/2298
HGNC:6017,interleukin 5 receptor subunit alpha,IL5RA,gene,http://identifiers.org/hgnc/6017
HGNC:4171,GATA binding protein 2,GATA2,gene,http://identifiers.org/hgnc/4171
HGNC:7317,membrane spanning 4-domains A3,MS4A3,gene,http://identifiers.org/hgnc/7317
HGNC:6012,interleukin 3 receptor subunit alpha,IL3RA,gene,http://identifiers.org/hgnc/6012
HGNC:6012,IL3RA,CD123,protein,http://identifiers.org/hgnc/6012
HGNC:6017,IL5RA,CD125,protein,http://identifiers.org/hgnc/6017
HGNC:1604,CCR3,CCR3,protein,http://identifiers.org/hgnc/1604
HGNC:3609,FCER1A,FcER1A,protein,http://identifiers.org/hgnc/3609
HGNC:1673,CD3d molecule,CD3D,gene,http://identifiers.org/hgnc/1673
HGNC:12029,T cell receptor alpha constant,TRAC,gene,http://identifiers.org/hgnc/12029
HGNC:12156,T cell receptor beta constant 1,TRBC1,gene,http://identifiers.org/hgnc/12156
HGNC:6024,interleukin 7 receptor,IL7R,gene,http://identifiers.org/hgnc/6024
HGNC:30698,T cell receptor associated transmembrane adaptor 1,TRAT1,gene,http://identifiers.org/hgnc/30698
HGNC:6711,lymphotoxin beta,LTB,gene,http://identifiers.org/hgnc/6711
HGNC:636,aquaporin 3 (Gill blood group),AQP3,gene,http://identifiers.org/hgnc/636
HGNC:11935,CD40 ligand,CD40LG,gene,http://identifiers.org/hgnc/11935
HGNC:1674,CD3E,CD3,protein,http://identifiers.org/hgnc/1674
HGNC:1678,CD4,CD4,protein,http://identifiers.org/hgnc/1678
HGNC:1706,CD8A,CD8,protein,http://identifiers.org/hgnc/1706
HGNC:9666,PTPRC,CD45RA,protein,http://identifiers.org/hgnc/9666
HGNC:1608,CCR7,CCR7,protein,http://identifiers.org/hgnc/1608
HGNC:1673,CD3d molecule,CD3D,gene,http://identifiers.org/hgnc/1673
HGNC:12029,T cell receptor alpha constant,TRAC,gene,http://identifiers.org/hgnc/12029
HGNC:4054,interferon alpha inducible protein 6,IFI6,gene,http://identifiers.org/hgnc/4054
HGNC:6563,galectin 3,LGALS3,gene,http://identifiers.org/hgnc/6563
HGNC:26974,PDZ domain containing 8,PDZD8,gene,http://identifiers.org/hgnc/26974
HGNC:537,annexin A2,ANXA2,gene,http://identifiers.org/hgnc/537
HGNC:2360,cysteine rich protein 1,CRIP1,gene,http://identifiers.org/hgnc/2360
HGNC:1674,CD3E,CD3,protein,http://identifiers.org/hgnc/1674
HGNC:1678,CD4,CD4,protein,http://identifiers.org/hgnc/1678
HGNC:1706,CD8A,CD8,protein,http://identifiers.org/hgnc/1706
HGNC:9666,PTPRC,CD45RA,protein,http://identifiers.org/hgnc/9666
HGNC:1608,CCR7,CCR7,protein,http://identifiers.org/hgnc/1608
HGNC:1673,CD3d molecule,CD3D,gene,http://identifiers.org/hgnc/1673
HGNC:12029,T cell receptor alpha constant,TRAC,gene,http://identifiers.org/hgnc/12029
HGNC:6015,interleukin 4 receptor,IL4R,gene,http://identifiers.org/hgnc/6015
HGNC:11362,signal transducer and activator of transcription 1,STAT1,gene,http://identifiers.org/hgnc/11362
HGNC:6817,"mal, T cell differentiation protein",MAL,gene,http://identifiers.org/hgnc/6817
HGNC:19383,suppressor of cytokine signaling 1,SOCS1,gene,http://identifiers.org/hgnc/19383
HGNC:6001,interleukin 2,IL2,gene,http://identifiers.org/hgnc/6001
HGNC:8109,ornithine decarboxylase 1,ODC1,gene,http://identifiers.org/hgnc/8109
HGNC:19129,phosphoserine aminotransferase 1,PSAT1,gene,http://identifiers.org/hgnc/19129
HGNC:12729,tryptophanyl-tRNA synthetase 1,WARS,gene,http://identifiers.org/hgnc/12729
HGNC:9721,pyrroline-5-carboxylate reductase 1,PYCR1,gene,http://identifiers.org/hgnc/9721
HGNC:11892,tumor necrosis factor,TNF,gene,http://identifiers.org/hgnc/11892
HGNC:7849,NME/NM23 nucleoside diphosphate kinase 1,NME1,gene,http://identifiers.org/hgnc/7849
HGNC:1674,CD3E,CD3,protein,http://identifiers.org/hgnc/1674
HGNC:1678,CD4,CD4,protein,http://identifiers.org/hgnc/1678
HGNC:1706,CD8A,CD8,protein,http://identifiers.org/hgnc/1706
HGNC:9666,PTPRC,CD45RA,protein,http://identifiers.org/hgnc/9666
HGNC:1608,CCR7,CCR7,protein,http://identifiers.org/hgnc/1608
HGNC:1673,CD3d molecule,CD3D,gene,http://identifiers.org/hgnc/1673
HGNC:12029,T cell receptor alpha constant,TRAC,gene,http://identifiers.org/hgnc/12029
HGNC:6015,interleukin 4 receptor,IL4R,gene,http://identifiers.org/hgnc/6015
HGNC:11362,signal transducer and activator of transcription 1,STAT1,gene,http://identifiers.org/hgnc/11362
HGNC:6817,"mal, T cell differentiation protein",MAL,gene,http://identifiers.org/hgnc/6817
HGNC:19383,suppressor of cytokine signaling 1,SOCS1,gene,http://identifiers.org/hgnc/19383
HGNC:6001,interleukin 2,IL2,gene,http://identifiers.org/hgnc/6001
HGNC:8109,ornithine decarboxylase 1,ODC1,gene,http://identifiers.org/hgnc/8109
HGNC:19129,phosphoserine aminotransferase 1,PSAT1,gene,http://identifiers.org/hgnc/19129
HGNC:12729,tryptophanyl-tRNA synthetase 1,WARS,gene,http://identifiers.org/hgnc/12729
HGNC:9721,pyrroline-5-carboxylate reductase 1,PYCR1,gene,http://identifiers.org/hgnc/9721
HGNC:11892,tumor necrosis factor,TNF,gene,http://identifiers.org/hgnc/11892
HGNC:7849,NME/NM23 nucleoside diphosphate kinase 1,NME1,gene,http://identifiers.org/hgnc/7849
HGNC:1674,CD3E,CD3,protein,http://identifiers.org/hgnc/1674
HGNC:1678,CD4,CD4,protein,http://identifiers.org/hgnc/1678
HGNC:1706,CD8A,CD8,protein,http://identifiers.org/hgnc/1706
HGNC:9666,PTPRC,CD45RA,protein,http://identifiers.org/hgnc/9666
HGNC:1608,CCR7,CCR7,protein,http://identifiers.org/hgnc/1608
HGNC:1673,CD3d molecule,CD3D,gene,http://identifiers.org/hgnc/1673
HGNC:12029,T cell receptor alpha constant,TRAC,gene,http://identifiers.org/hgnc/12029
HGNC:636,aquaporin 3 (Gill blood group),AQP3,gene,http://identifiers.org/hgnc/636
HGNC:6024,interleukin 7 receptor,IL7R,gene,http://identifiers.org/hgnc/6024
HGNC:1674,CD3E,CD3,protein,http://identifiers.org/hgnc/1674
HGNC:1678,CD4,CD4,protein,http://identifiers.org/hgnc/1678
HGNC:1706,CD8A,CD8,protein,http://identifiers.org/hgnc/1706
HGNC:9666,PTPRC,CD45RA,protein,http://identifiers.org/hgnc/9666
HGNC:1608,CCR7,CCR7,protein,http://identifiers.org/hgnc/1608
HGNC:26974,PDZ domain containing 8,PDZD8,gene,http://identifiers.org/hgnc/26974
HGNC:16647,C-X-C motif chemokine receptor 6,CXCR6,gene,http://identifiers.org/hgnc/16647
HGNC:9360,perforin 1,PRF1,gene,http://identifiers.org/hgnc/9360
HGNC:2360,cysteine rich protein 1,CRIP1,gene,http://identifiers.org/hgnc/2360
HGNC:6134,integrin subunit alpha 1,ITGA1,gene,http://identifiers.org/hgnc/6134
HGNC:4709,granzyme B,GZMB,gene,http://identifiers.org/hgnc/4709
HGNC:1674,CD3E,CD3,protein,http://identifiers.org/hgnc/1674
HGNC:1678,CD4,CD4,protein,http://identifiers.org/hgnc/1678
HGNC:1706,CD8A,CD8,protein,http://identifiers.org/hgnc/1706
HGNC:9666,PTPRC,CD45RA,protein,http://identifiers.org/hgnc/9666
HGNC:1608,CCR7,CCR7,protein,http://identifiers.org/hgnc/1608
HGNC:1673,CD3d molecule,CD3D,gene,http://identifiers.org/hgnc/1673
HGNC:12029,T cell receptor alpha constant,TRAC,gene,http://identifiers.org/hgnc/12029
HGNC:10627,C-C motif chemokine ligand 3,CCL3,gene,http://identifiers.org/hgnc/10627
HGNC:10630,C-C motif chemokine ligand 4,CCL4,gene,http://identifiers.org/hgnc/10630
HGNC:24961,HOP homeobox,HOPX,gene,http://identifiers.org/hgnc/24961
HGNC:4709,granzyme B,GZMB,gene,http://identifiers.org/hgnc/4709
HGNC:1674,CD3E,CD3,protein,http://identifiers.org/hgnc/1674
HGNC:1678,CD4,CD4,protein,http://identifiers.org/hgnc/1678
HGNC:1706,CD8A,CD8,protein,http://identifiers.org/hgnc/1706
HGNC:9666,PTPRC,CD45RA,protein,http://identifiers.org/hgnc/9666
HGNC:1608,CCR7,CCR7,protein,http://identifiers.org/hgnc/1608
HGNC:1673,CD3d molecule,CD3D,gene,http://identifiers.org/hgnc/1673
HGNC:12029,T cell receptor alpha constant,TRAC,gene,http://identifiers.org/hgnc/12029
HGNC:9360,perforin 1,PRF1,gene,http://identifiers.org/hgnc/9360
HGNC:24961,HOP homeobox,HOPX,gene,http://identifiers.org/hgnc/24961
HGNC:7830,natural killer cell granule protein 7,NKG7,gene,http://identifiers.org/hgnc/7830
HGNC:4414,granulysin,GNLY,gene,http://identifiers.org/hgnc/4414
HGNC:5411,interferon induced protein with tetratricopeptide repeats 3,IFIT3,gene,http://identifiers.org/hgnc/5411
HGNC:6378,killer cell lectin like receptor D1,KLRD1,gene,http://identifiers.org/hgnc/6378
HGNC:10632,C-C motif chemokine ligand 5,CCL5,gene,http://identifiers.org/hgnc/10632
HGNC:1674,CD3E,CD3,protein,http://identifiers.org/hgnc/1674
HGNC:1678,CD4,CD4,protein,http://identifiers.org/hgnc/1678
HGNC:1706,CD8A,CD8,protein,http://identifiers.org/hgnc/1706
HGNC:9666,PTPRC,CD45RA,protein,http://identifiers.org/hgnc/9666
HGNC:1608,CCR7,CCR7,protein,http://identifiers.org/hgnc/1608
HGNC:10632,C-C motif chemokine ligand 5,CCL5,gene,http://identifiers.org/hgnc/10632
HGNC:4710,granzyme H,GZMH,gene,http://identifiers.org/hgnc/4710
HGNC:16830,interleukin 32,IL32,gene,http://identifiers.org/hgnc/16830
HGNC:1706,CD8a molecule,CD8A,gene,http://identifiers.org/hgnc/1706
HGNC:3068,dual specificity phosphatase 2,DUSP2,gene,http://identifiers.org/hgnc/3068
HGNC:6380,killer cell lectin like receptor G1,KLRG1,gene,http://identifiers.org/hgnc/6380
HGNC:12276,T cell receptor gamma constant 2,TRGC2,gene,http://identifiers.org/hgnc/12276
HGNC:4711,granzyme K,GZMK,gene,http://identifiers.org/hgnc/4711
HGNC:1674,CD3E,CD3,protein,http://identifiers.org/hgnc/1674
HGNC:1706,CD8A,CD8,protein,http://identifiers.org/hgnc/1706
HGNC:1678,CD4,CD4,protein,http://identifiers.org/hgnc/1678
HGNC:11922,CD27,CD27,protein,http://identifiers.org/hgnc/11922
HGNC:1667,CD38,CD38,protein,http://identifiers.org/hgnc/1667
HGNC:9666,PTPRC,CD45RA,protein,http://identifiers.org/hgnc/9666
HGNC:10720,SELL,CD62L,protein,http://identifiers.org/hgnc/10720
HGNC:1608,CCR7,CCR7,protein,http://identifiers.org/hgnc/1608
HGNC:12253,T cell receptor delta constant,TRDC,gene,http://identifiers.org/hgnc/12253
HGNC:6373,killer cell lectin like receptor B1,KLRB1,gene,http://identifiers.org/hgnc/6373
HGNC:2064,chloride intracellular channel 3,CLIC3,gene,http://identifiers.org/hgnc/2064
HGNC:2479,cystatin F,CST7,gene,http://identifiers.org/hgnc/2479
HGNC:10645,X-C motif chemokine ligand 1,XCL1,gene,http://identifiers.org/hgnc/10645
HGNC:4711,granzyme K,GZMK,gene,http://identifiers.org/hgnc/4711
HGNC:1674,CD3E,CD3,protein,http://identifiers.org/hgnc/1674
HGNC:1633,CD19,CD19,protein,http://identifiers.org/hgnc/1633
HGNC:7315,MS4A1,CD20,protein,http://identifiers.org/hgnc/7315
HGNC:7656,NCAM1,CD56hi,protein,http://identifiers.org/hgnc/7656
HGNC:3619,FCGR3A,CD16,protein,http://identifiers.org/hgnc/3619
HGNC:12253,T cell receptor delta constant,TRDC,gene,http://identifiers.org/hgnc/12253
HGNC:6373,killer cell lectin like receptor B1,KLRB1,gene,http://identifiers.org/hgnc/6373
HGNC:2064,chloride intracellular channel 3,CLIC3,gene,http://identifiers.org/hgnc/2064
HGNC:2479,cystatin F,CST7,gene,http://identifiers.org/hgnc/2479
HGNC:4708,granzyme A,GZMA,gene,http://identifiers.org/hgnc/4708
HGNC:4709,granzyme B,GZMB,gene,http://identifiers.org/hgnc/4709
HGNC:9360,perforin 1,PRF1,gene,http://identifiers.org/hgnc/9360
HGNC:3619,Fc gamma receptor IIIa,FCGR3A,gene,http://identifiers.org/hgnc/3619
HGNC:1674,CD3E,CD3,protein,http://identifiers.org/hgnc/1674
HGNC:1633,CD19,CD19,protein,http://identifiers.org/hgnc/1633
HGNC:7315,MS4A1,CD20,protein,http://identifiers.org/hgnc/7315
HGNC:7656,NCAM1,CD56,protein,http://identifiers.org/hgnc/7656
HGNC:3619,FCGR3A,CD16,protein,http://identifiers.org/hgnc/3619
HGNC:921,B3GAT1,CD57,protein,http://identifiers.org/hgnc/921
